fold,scenario,scenario_key,exp,rmse_x,rmse_y,rmse_z,rmse_3d,nees
1,Baseline_Grid,A_baseline_grid,default_3_movingTriangle_0b_ifo003,0.2030404515957715,0.1621496755282488,0.1563916020484885,0.3032759064769639,0.996787639335722
1,BiasNet_ByTime,B1_bn_by_time,default_3_movingTriangle_0b_ifo003,0.218159531357212,0.1817772991367656,0.1560202412893923,0.3240044494994722,0.999759116110272
1,BiasNet_ByExp,B2_bn_by_exp,default_3_movingTriangle_0b_ifo003,0.2104486957528506,0.1767122575235831,0.1558980731493064,0.3159431669063644,0.995144206129767
1,FusionNet_ByExp,C1_fn_by_exp,default_3_movingTriangle_0b_ifo003,0.1882726970108874,0.1734487374345716,0.1566084041245404,0.3000954268225953,0.9630589662319898
1,FusionNet_ByTime,C2_fn_by_time,default_3_movingTriangle_0b_ifo003,0.1870245383833493,0.170607404614966,0.1560424855470827,0.2973790876350777,0.9428531722830408
1,BiasNet+FusionNet_ByExp,D_bnfn_by_exp,default_3_movingTriangle_0b_ifo003,0.1941471688811683,0.1863092689705006,0.1566821250857503,0.3113736585041863,0.9729932459910934
1,Budgeted_K2,E_budget_k2,default_3_movingTriangle_0b_ifo003,0.1870245383833493,0.170607404614966,0.1560424855470827,0.2973790876350777,0.9428531722830408
2,Baseline_Grid,A_baseline_grid,default_3_random2_0_ifo003,0.4212716691344122,0.2565074907463871,0.1239670346255894,0.5085604562863324,0.7296989062698549
2,BiasNet_ByTime,B1_bn_by_time,default_3_random2_0_ifo003,0.3171760079149139,0.2162146938804016,0.1236962831198101,0.403299125097357,0.6638070654185012
2,BiasNet_ByExp,B2_bn_by_exp,default_3_random2_0_ifo003,0.3124183603072153,0.2114149685832471,0.1235549907507607,0.3969475488493719,0.6586083778061417
2,FusionNet_ByExp,C1_fn_by_exp,default_3_random2_0_ifo003,0.4143314543652127,0.2477813748797795,0.1244389732323274,0.4985491168107928,0.6826838343678879
2,FusionNet_ByTime,C2_fn_by_time,default_3_random2_0_ifo003,0.4155403068326038,0.2555821212192209,0.1250119935552735,0.5036109270281136,0.6884649211609579
2,BiasNet+FusionNet_ByExp,D_bnfn_by_exp,default_3_random2_0_ifo003,0.3094410944409568,0.2128109661620188,0.1244497272360646,0.3956387656142397,0.6362854425644799
2,Budgeted_K2,E_budget_k2,default_3_random2_0_ifo003,0.4155403068326038,0.2555821212192209,0.1250119935552735,0.5036109270281136,0.6884649211609579
3,Baseline_Grid,A_baseline_grid,default_3_random3_0b_ifo003,0.6082511140457976,1.2019219806779862,0.1533667885061409,1.355768135483179,1.680461574317267
3,BiasNet_ByTime,B1_bn_by_time,default_3_random3_0b_ifo003,0.7089266536967789,1.2024418594582682,0.1532676903025068,1.4042558209207583,1.8252868033753824
3,BiasNet_ByExp,B2_bn_by_exp,default_3_random3_0b_ifo003,0.7231642475650726,1.2332072836517125,0.1536655936839137,1.4378386029350532,1.8429203705441024
3,FusionNet_ByExp,C1_fn_by_exp,default_3_random3_0b_ifo003,0.5140125689944066,1.1259062612646105,0.1468788826945739,1.2463736343571654,1.1786593920588042
3,FusionNet_ByTime,C2_fn_by_time,default_3_random3_0b_ifo003,0.5000939265999738,1.123289745802679,0.1468576747168194,1.2383218342058164,1.2098070305041222
3,BiasNet+FusionNet_ByExp,D_bnfn_by_exp,default_3_random3_0b_ifo003,0.5456764552458293,1.1350679397194816,0.1470094963382481,1.2679723236736316,1.2024239272068973
3,Budgeted_K2,E_budget_k2,default_3_random3_0b_ifo003,0.5000939265999738,1.123289745802679,0.1468576747168194,1.2383218342058164,1.2098070305041222
4,Baseline_Grid,A_baseline_grid,default_3_random3_1_ifo003,1.020889176260261,0.5407563933861835,0.2515390894543936,1.1823299457921723,1.9698742958056128
4,BiasNet_ByTime,B1_bn_by_time,default_3_random3_1_ifo003,1.0437499027103685,0.4996005188358252,0.2545363359834586,1.1848220474673845,1.9195107649330203
4,BiasNet_ByExp,B2_bn_by_exp,default_3_random3_1_ifo003,0.9994130153235264,0.6089081840828887,0.2522087710991914,1.1971653252832453,1.9235185931840808
4,FusionNet_ByExp,C1_fn_by_exp,default_3_random3_1_ifo003,0.3716572217376581,0.2777619279651216,0.2032972872465696,0.5065674348973401,1.357788811907557
4,FusionNet_ByTime,C2_fn_by_time,default_3_random3_1_ifo003,0.3681044909848485,0.2804915015999212,0.2032169404378679,0.5054438877204074,1.3525301929451934
4,BiasNet+FusionNet_ByExp,D_bnfn_by_exp,default_3_random3_1_ifo003,0.3739784212435408,0.2679827610120739,0.2008164042571507,0.5019978565434674,1.289839812560144
4,Budgeted_K2,E_budget_k2,default_3_random3_1_ifo003,0.3681044909848485,0.2804915015999212,0.2032169404378679,0.5054438877204074,1.3525301929451934
5,Baseline_Grid,A_baseline_grid,default_3_random3_2_ifo003,1.5028544053561774,1.992779641468928,0.6391832090065218,2.5764893242215,4.638762520397811
5,BiasNet_ByTime,B1_bn_by_time,default_3_random3_2_ifo003,1.4516939149148174,1.8506520239997528,0.6388786471317498,2.4373128773909984,4.392380922275143
5,BiasNet_ByExp,B2_bn_by_exp,default_3_random3_2_ifo003,1.445714360308689,1.849518229868365,0.6388985395005824,2.4328993069985736,4.350240697180408
5,FusionNet_ByExp,C1_fn_by_exp,default_3_random3_2_ifo003,1.6302099618290689,1.624518218755618,0.7394083786310068,2.4173060859364512,3.2563094637312595
5,FusionNet_ByTime,C2_fn_by_time,default_3_random3_2_ifo003,1.603854658361632,1.6206701460448256,0.7432814002974113,2.39820531386647,3.1968266243026235
5,BiasNet+FusionNet_ByExp,D_bnfn_by_exp,default_3_random3_2_ifo003,1.5900098162542535,1.4152443781678798,0.7416228311786826,2.25411896080179,3.057433080546572
5,Budgeted_K2,E_budget_k2,default_3_random3_2_ifo003,1.603854658361632,1.6206701460448256,0.7432814002974113,2.39820531386647,3.1968266243026235
6,Baseline_Grid,A_baseline_grid,default_3_random_0_ifo003,0.4900801578232389,0.2677183170844169,0.1563787177442664,0.5799189268836664,1.109513298995804
6,BiasNet_ByTime,B1_bn_by_time,default_3_random_0_ifo003,0.5202509660232301,0.2646369324843778,0.1589126923161453,0.6049355481884086,1.1248970129906046
6,BiasNet_ByExp,B2_bn_by_exp,default_3_random_0_ifo003,0.4997308308191839,0.263356134928926,0.1595427257585139,0.586976352520603,1.1262936427011232
6,FusionNet_ByExp,C1_fn_by_exp,default_3_random_0_ifo003,0.4948090570664432,0.2600382608132228,0.1536664584991564,0.5797148268842374,0.9634760682419902
6,FusionNet_ByTime,C2_fn_by_time,default_3_random_0_ifo003,0.4883095458224945,0.2556986919174819,0.1552603571418266,0.572655055063246,1.007787449292268
6,BiasNet+FusionNet_ByExp,D_bnfn_by_exp,default_3_random_0_ifo003,0.490537724429425,0.2552653695516796,0.1529210246322758,0.5737355730258829,0.9466252673807128
6,Budgeted_K2,E_budget_k2,default_3_random_0_ifo003,0.4883095458224945,0.2556986919174819,0.1552603571418266,0.572655055063246,1.007787449292268
7,Baseline_Grid,A_baseline_grid,default_3_random_0b_ifo003,0.5318653296933817,0.8247830856047683,0.1468263460323817,0.9923234569024338,1.4344707871209417
7,BiasNet_ByTime,B1_bn_by_time,default_3_random_0b_ifo003,0.5395600585197025,0.8191711786108014,0.1483134368656443,0.9920500754353552,1.4708684438495314
7,BiasNet_ByExp,B2_bn_by_exp,default_3_random_0b_ifo003,0.5313868206714784,0.8183652148401428,0.1499336541860467,0.9872049831221884,1.4873984897394938
7,FusionNet_ByExp,C1_fn_by_exp,default_3_random_0b_ifo003,0.4223425812251868,0.7784427298193244,0.1512633642795085,0.8984580930113933,1.246915858543704
7,FusionNet_ByTime,C2_fn_by_time,default_3_random_0b_ifo003,0.4326187290157544,0.736109001184697,0.1516546519668257,0.8671877304156912,1.1852694610142442
7,BiasNet+FusionNet_ByExp,D_bnfn_by_exp,default_3_random_0b_ifo003,0.4632542922124349,0.7713978298831136,0.1509417215775418,0.9123828990694732,1.2537069245671346
7,Budgeted_K2,E_budget_k2,default_3_random_0b_ifo003,0.4326187290157544,0.736109001184697,0.1516546519668257,0.8671877304156912,1.1852694610142442
