category,statistic,exp,fold,scenario,rmse_3d,rmse_x,rmse_y,rmse_z,nees,rmse_3d_std,nees_std,notes,source
Adaptive tracker,per_experiment,default_3_zigzag_0,,Adaptive_k1,1.3068954688005572,0.9660540412710588,0.8701833982340638,0.1322732367227047,2.0408510036105496,,,,runs/20250927_combined_notebook_cv_eval/zig_sections/adaptive_budget_k1/adaptive_budget_summary.csv
Adaptive tracker,per_experiment,default_3_zigzag_1,,Adaptive_k1,0.6900433117793535,0.5507973805184524,0.4001858154539279,0.1123980909753478,0.6202789484533242,,,,runs/20250927_combined_notebook_cv_eval/zig_sections/adaptive_budget_k1/adaptive_budget_summary.csv
Adaptive tracker,per_experiment,default_3_zigzag_2,,Adaptive_k1,3.0681567467574755,1.8635546488598185,2.320353081876796,0.7461309997656439,11.375467766439336,,,,runs/20250927_combined_notebook_cv_eval/zig_sections/adaptive_budget_k1/adaptive_budget_summary.csv
Cross-validation comprehensive,per_model,,,Baseline_Grid,1.0712,,,,1.7942,0.7652,1.323,"Method=Baseline, Budget_K=2, folds=7",cv_results_comprehensive_k1_k2.csv
Cross-validation comprehensive,per_model,,,Baseline_Grid_K1,1.074,,,,1.7226,0.5735,0.763,"Method=Baseline, Budget_K=1, folds=7",cv_results_comprehensive_k1_k2.csv
Cross-validation comprehensive,per_model,,,BiasNet+FusionNet_ByExp,0.8882,,,,1.337,0.6873,0.7919,"Method=BiasNet+FusionNet, Budget_K=2, folds=7",cv_results_comprehensive_k1_k2.csv
Cross-validation comprehensive,per_model,,,BiasNet+FusionNet_ByExp_K1,1.0569,,,,1.7151,0.5895,0.7711,"Method=BiasNet+FusionNet, Budget_K=1, folds=7",cv_results_comprehensive_k1_k2.csv
Cross-validation delta,delta_per_fold,default_3_movingTriangle_0b_ifo003,1.0,Budgeted_K2 - Baseline,-0.0058968188418861,,,,,,,"baseline=0.3032759064769639, budgeted=0.2973790876350777, diff_percent=-1.9443743192089364",baseline_vs_budgeted_k2_comparison.csv
Cross-validation delta,delta_per_fold,default_3_random2_0_ifo003,2.0,Budgeted_K2 - Baseline,-0.0049495292582187,,,,,,,"baseline=0.5085604562863324, budgeted=0.5036109270281136, diff_percent=-0.973243042599458",baseline_vs_budgeted_k2_comparison.csv
Cross-validation delta,delta_per_fold,default_3_random3_0b_ifo003,3.0,Budgeted_K2 - Baseline,-0.1174463012773625,,,,,,,"baseline=1.355768135483179, budgeted=1.2383218342058164, diff_percent=-8.662712908170404",baseline_vs_budgeted_k2_comparison.csv
Cross-validation delta,delta_per_fold,default_3_random3_1_ifo003,4.0,Budgeted_K2 - Baseline,-0.6768860580717649,,,,,,,"baseline=1.1823299457921723, budgeted=0.5054438877204074, diff_percent=-57.2501830373792",baseline_vs_budgeted_k2_comparison.csv
