k,x,y,z,var_x,var_y,var_z
0,0.0,0.0,0.0,4.000000001,4.000000001,4.000000001
1,0.0,0.0,0.0,4.000980999051644,4.000980999051644,4.000920249225452
2,0.0,0.0,0.0,4.006114752583672,4.006114752583672,4.005309449458823
3,0.0,0.0,0.0,4.0129997659205285,4.0129997659205285,4.010749820637149
4,0.0,0.0,0.0,4.025605811423107,4.025605811423107,4.020070056835693
5,0.0,0.0,0.0,4.043638474485986,4.043638474485986,4.032584395640078
6,0.0,0.0,0.0,4.063997138109435,4.063997138109435,4.045998155183934
7,0.0,0.0,0.0,4.094155066246355,4.094155066246355,4.064956219704791
8,0.0,0.0,0.0,4.116327724182144,4.116327724182144,4.078394204080542
9,0.0,0.0,0.0,4.133144121758767,4.133144121758767,4.0883652902263075
10,0.0,0.0,0.0,4.1485602650545275,4.1485602650545275,4.0973636883192395
11,0.0,0.0,0.0,4.169029515847885,4.169029515847885,4.109127656429023
12,0.0,0.0,0.0,4.175257538615193,4.175257538615193,4.112669281138669
13,0.0,0.0,0.0,4.181678338069195,4.181678338069195,4.116303402825295
14,0.0,0.0,0.0,4.19837001637082,4.19837001637082,4.125674098485444
15,0.0,0.0,0.0,4.218348934987188,4.218348934987188,4.136756135018944
16,0.0,0.0,0.0,4.256262306467449,4.256262306467449,4.157433181945378
17,0.0,0.0,0.0,4.2657315448042725,4.2657315448042725,4.162532736283698
18,0.0,0.0,0.0,4.292812439836084,4.292812439836084,4.17698883737552
19,0.0,0.0,0.0,4.338630781819981,4.338630781819981,4.201059225287204
20,0.0,0.0,0.0,4.354233930519821,4.354233930519821,4.209156378988578
21,0.0,0.0,0.0,4.423312254129991,4.423312254129991,4.24447527455624
22,0.0,0.0,0.0,4.423409133762793,4.423409133762793,4.244524251665999
23,-0.041340802822472766,-0.010977164364043864,0.21362868343328797,4.343693170649037,4.426562982179978,1.5929063870927636
24,-0.5726746334960847,-0.1520614780027411,0.3294113624270638,3.1966664210300713,4.380254708127198,0.1249400864326479
25,-0.5713100473253312,-0.1516991413846162,0.32973418359871365,3.217597275619403,4.400906336474825,0.12659292670918226
26,-0.5706619194656212,-0.1515270449191581,0.32988567696232607,3.227742642797337,4.410914454243336,0.12747647698276113
27,-0.5697001392788436,-0.15127166479899742,0.33010739451061544,3.2430198351947443,4.425979474915195,0.1289093906439001
28,-0.5682892278758973,-0.15089702750809253,0.33042460986885963,3.2658970019884555,4.4485250525157465,0.13128644193426464
29,-0.563288881951047,-0.1495692927921058,0.33143922237067386,3.3508233578890367,4.532012455714456,0.14253876236843324
30,-0.5629029746501955,-0.14946682337735054,0.3315088540058025,3.357599247012482,4.538657797052412,0.14360009236146465
31,-0.5576670075344344,-0.14807652450286435,0.33230203610512754,3.451839741035057,4.630789987276517,0.16080221191839114
32,-0.09254960308081833,-0.013412767851730498,0.2568427912228722,4.471464218102493,4.715216645509642,0.916840582553441
33,-0.8409798949198923,-0.1356334154678529,0.3163723661138184,2.41949602782525,4.6276148185211525,0.06990651079220139
34,-0.8384644042032116,-0.13498972330441672,0.31641777321362463,2.4483212891096486,4.65646923856688,0.07267564492249738
35,-0.8296739743112663,-0.13280597613502443,0.316393156601636,2.5480248019512532,4.754282527381878,0.08441193757088226
36,-0.826222479170961,-0.13197615371422347,0.31631434736297986,2.5866033511307247,4.791342022929166,0.08980352179561144
37,-0.8255064456724528,-0.13180583517374295,0.3162936014856166,2.5945699707376404,4.798945331071605,0.09097341812495123
38,-0.815352738123639,-0.12945542797793266,0.31585504421635835,2.705865304021009,4.903411360829809,0.10923493786231803
39,-0.8144322714491556,-0.12924791144773212,0.31580308237134214,2.7158135870334443,4.912601394649097,0.11103508806089361
40,-0.8002896705381731,-0.12615967602716188,0.31479155158063804,2.865959549583179,5.0486767908151515,0.1412966037861044
41,-0.7979889911555759,-0.12567326577569743,0.3145930678821901,2.889954730177742,5.070005088620052,0.14664483322646066
42,-0.7965253702814472,-0.12536590368588854,0.31446234121224403,2.9051653805438162,5.083470920947008,0.15010485744614543
43,-0.7903329531055061,-0.1240823688418573,0.3138728895913414,2.9690782949521464,5.139612782908296,0.1652201777663765
44,-0.7837626382864792,-0.12274929590817507,0.3131945092415792,3.0356486731792467,5.197211400215554,0.18188980820375042
45,-0.7819534430668219,-0.12238793737438704,0.3130049069540076,3.0533375019704536,5.212232455878721,0.186444562033094
